annee;date;arbre;cultivar;nbfruit;masse
2010;31/01/2011;F7;Cogshall;12;4860
2010;03/02/2011;F7;Cogshall;8;2987,6
2010;07/02/2011;F7;Cogshall;2;844,8
2010;02/12/2010;G8;Cogshall;3;1122
2010;06/12/2010;G8;Cogshall;2;520,3
2010;13/12/2010;G8;Cogshall;3;996,6
2010;16/12/2010;G8;Cogshall;5;1410,1
2010;21/12/2010;G8;Cogshall;2;412,1
2010;23/12/2010;G8;Cogshall;1;356
2010;27/12/2010;G8;Cogshall;7;2175,3
2010;30/12/2010;G8;Cogshall;5;1444,5
2010;04/01/2011;G8;Cogshall;3;1309,5
2010;11/01/2011;G8;Cogshall;6;2069,8
2010;14/01/2011;G8;Cogshall;4;1575,2
2010;18/01/2011;G8;Cogshall;9;3309,9
2010;21/01/2011;G8;Cogshall;9;3139,6
2010;25/01/2011;G8;Cogshall;10;4121
2010;31/01/2011;G8;Cogshall;28;11572
2010;07/02/2011;G8;Cogshall;1;529,7
2010;22/02/2011;G8;Cogshall;1;368,6
2010;23/11/2010;H7;Cogshall;9;855
2010;09/12/2010;H7;Cogshall;3;733
2010;13/12/2010;H7;Cogshall;1;248,9
2010;16/12/2010;H7;Cogshall;4;958,3
2010;21/12/2010;H7;Cogshall;3;746,6
2010;27/12/2010;H7;Cogshall;2;559,8
2010;30/12/2010;H7;Cogshall;7;2001,9
2010;04/01/2011;H7;Cogshall;9;3050,1
2010;07/01/2011;H7;Cogshall;8;2814,5
2010;11/01/2011;H7;Cogshall;10;3420,1
2010;14/01/2011;H7;Cogshall;2;665
2010;18/01/2011;H7;Cogshall;4;1603
2010;21/01/2011;H7;Cogshall;6;1981,3
2010;25/01/2011;H7;Cogshall;14;5363,9
2010;31/01/2011;H7;Cogshall;14;5810
2010;03/02/2011;H7;Cogshall;7;2891,4
2010;07/02/2011;H7;Cogshall;3;1049,7
2010;18/02/2011;H7;Cogshall;2;490
2010;06/12/2010;I13;Cogshall;3;786,3
2010;13/12/2010;I13;Cogshall;2;507,3
2010;16/12/2010;I13;Cogshall;1;289
2010;21/12/2010;I13;Cogshall;9;2870,6
2010;23/12/2010;I13;Cogshall;2;787,9
2010;27/12/2010;I13;Cogshall;5;1694
2010;30/12/2010;I13;Cogshall;4;1294,1
2010;04/01/2011;I13;Cogshall;12;3614,3
2010;07/01/2011;I13;Cogshall;5;1720,5
2010;11/01/2011;I13;Cogshall;10;3413,4
2010;14/01/2011;I13;Cogshall;6;2482,5
2010;18/01/2011;I13;Cogshall;13;4801,3
2010;25/01/2011;I13;Cogshall;10;4311,8
2010;31/01/2011;I13;Cogshall;6;2532
2010;03/02/2011;I13;Cogshall;1;439,6
2010;02/12/2010;J14;Cogshall;2;539
2010;06/12/2010;J14;Cogshall;1;382,9
2010;09/12/2010;J14;Cogshall;3;980,5
2010;13/12/2010;J14;Cogshall;1;439,6
2010;16/12/2010;J14;Cogshall;6;2193,3
2010;27/12/2010;J14;Cogshall;4;1510,6
2010;30/12/2010;J14;Cogshall;3;1053,7
2010;11/01/2011;J14;Cogshall;4;1669,9
2010;14/01/2011;J14;Cogshall;1;450,7
2010;18/01/2011;J14;Cogshall;2;815,6
2010;21/01/2011;J14;Cogshall;2;647,9
2010;25/01/2011;J14;Cogshall;2;1003,9
